RHC,SA,GA,MIMIC
100,100,39,189
100,100,33,100
100,100,119,100
100,100,128,100
100,189,40,100
100,100,31,100
100,100,128,100
100,100,45,100
100,100,115,100
100,189,127,189
100,100,125,100
100,189,34,189
100,100,28,100
100,189,31,100
100,100,37,189
100,189,125,189
100,100,36,100
100,189,123,100
100,100,118,100
100,100,122,100
100,100,123,100
100,100,39,189
100,100,119,100
100,189,41,189
100,100,27,189
100,189,127,100
100,100,121,100
100,189,118,100
100,100,115,100
100,189,129,100
100,100,125,100
100,100,128,100
100,100,131,100
100,100,137,100
100,100,126,100
100,100,117,100
100,100,114,189
100,100,115,100
100,100,124,100
100,100,132,100
100,100,121,189
100,100,125,100
100,100,120,100
100,189,126,100
100,100,40,100
100,100,122,100
100,100,131,189
100,100,128,100
100,100,120,189
100,100,41,189
