RHC,SA,GA,MIMIC
0.124559175,0.113449537,0.146775185,0.108729598
0.12839691,0.113511076,0.141731979,0.125956849
0.104563518,0.099372548,0.138177357,0.094773453
0.129824123,0.12388699,0.141112918,0.114072061
0.114709148,0.121381183,0.140878381,0.114894656
0.114761562,0.115649041,0.132541827,0.123109193
0.132485264,0.122328405,0.137366565,0.10975518
0.104198809,0.124994935,0.136267449,0.105103472
0.130134042,0.113743477,0.143511387,0.103968254
0.123307798,0.120871652,0.136828618,0.110845628
0.13580201,0.110201965,0.159750258,0.115742896
0.100533357,0.11612802,0.145278893,0.107431417
0.114253195,0.117605497,0.144563625,0.107322718
0.112828739,0.132430929,0.139110678,0.10434619
0.109922773,0.139000068,0.145956691,0.123277013
0.137610094,0.130739656,0.13961065,0.107428597
0.114283919,0.111207822,0.151256342,0.10620323
0.121596462,0.136551747,0.160102506,0.095084815
0.120335996,0.117570246,0.151382546,0.119722104
0.123627136,0.118643758,0.149058562,0.110692063
0.124001193,0.116893027,0.138116268,0.108029889
0.131388034,0.115090783,0.138930574,0.114047136
0.123202352,0.133212353,0.14658128,0.116316709
0.124046604,0.10827747,0.141650541,0.116695812
0.124465347,0.111543492,0.136306594,0.112079384
0.121611373,0.126573754,0.145201479,0.114477582
0.12135192,0.112695633,0.147487022,0.111776906
0.127597729,0.121430948,0.151343908,0.117117533
0.119291031,0.114247569,0.144393225,0.094090457
0.116848659,0.11618484,0.141394911,0.10808271
0.117465968,0.125807361,0.141575402,0.119997594
0.117465215,0.123595349,0.146777706,0.098649503
0.128901571,0.133645848,0.161616111,0.09826496
0.112990124,0.126395267,0.137358489,0.129508205
0.118084377,0.130754755,0.143350655,0.09637183
0.114486361,0.138350837,0.150981445,0.105619464
0.110340564,0.111539591,0.147037693,0.106009267
0.116641367,0.126509957,0.143472464,0.103150586
0.128290831,0.12007091,0.144013647,0.113133117
0.131677009,0.106706118,0.147248803,0.114513056
0.135499427,0.118716109,0.159750258,0.107956052
0.122808446,0.104415977,0.159750258,0.116272295
0.136857099,0.123766784,0.137091288,0.118140063
0.114690912,0.12009252,0.136440918,0.09446363
0.111312517,0.130153564,0.146417026,0.103033231
0.115201362,0.117812597,0.134313821,0.091483984
0.116948857,0.128369616,0.145312312,0.108849465
0.123666063,0.118677803,0.148499331,0.123843483
0.112800804,0.12096351,0.148491698,0.109255883
0.124113094,0.130287239,0.145465369,0.098900255
