RHC,SA,GA,MIMIC
198,198,194,198
198,198,191,198
198,198,184,198
198,198,187,198
198,198,190,198
198,198,198,195
198,198,190,198
198,198,190,196
198,198,192,198
198,198,188,196
198,198,188,198
198,198,190,198
198,198,190,197
198,198,192,196
198,198,179,198
198,198,186,196
198,198,186,198
198,198,189,198
198,198,188,198
198,198,182,196
198,198,184,198
198,198,192,196
198,198,192,198
198,198,196,198
198,198,192,198
198,198,185,198
198,198,189,198
198,198,189,198
198,198,182,198
198,198,188,198
198,198,194,198
198,198,190,196
198,198,188,198
198,198,188,198
198,198,193,198
198,198,194,198
198,198,187,198
198,198,186,198
198,198,189,198
198,198,183,198
198,198,185,196
198,198,183,198
198,198,182,198
198,198,188,198
198,198,192,198
198,198,193,198
198,198,184,198
198,198,191,198
198,198,192,198
198,198,192,198
