0,1,2,3,,
0,6.234,0.654,16,,6.798
1,6.28,0.656,16,,0.704
2,5.986,0.628,16,,
3,5.864,0.62,16,,
4,6.012,0.632,16,,
5,6.024,0.634,16,,
6,6.264,0.656,16,,
7,6.368,0.664,16,,
8,6.012,0.632,16,,
9,6.186,0.648,16,,
10,6.428,0.668,16,,
11,6.178,0.646,16,,
12,5.996,0.63,16,,
13,5.894,0.622,16,,
14,6.184,0.646,16,,
15,6.08,0.636,16,,
16,6.364,0.664,16,,
17,6.716,0.696,16,,
18,6.004,0.632,16,,
19,5.764,0.608,16,,
20,5.722,0.606,16,,
21,5.928,0.624,16,,
22,6.574,0.684,16,,
23,5.938,0.624,16,,
24,6.084,0.638,16,,
25,6.022,0.632,16,,
26,5.802,0.612,16,,
27,6.382,0.666,16,,
28,5.988,0.632,16,,
29,6.146,0.644,16,,
30,5.89,0.62,16,,
31,6.2,0.648,16,,
32,6.062,0.636,16,,
33,5.966,0.628,16,,
34,6.252,0.652,16,,
35,6.454,0.672,16,,
36,6.23,0.652,16,,
37,6.006,0.63,16,,
38,5.806,0.614,16,,
39,5.884,0.62,16,,
40,6.092,0.638,16,,
41,6.34,0.664,16,,
42,6.372,0.666,16,,
43,6.204,0.648,16,,
44,6.344,0.662,16,,
45,6.09,0.638,16,,
46,6.292,0.658,16,,
47,6.27,0.654,16,,
48,5.71,0.604,16,,
49,6.02,0.632,16,,
50,5.982,0.63,16,,
51,6.232,0.652,16,,
52,5.726,0.606,16,,
53,6.102,0.64,16,,
54,6.132,0.642,16,,
55,5.934,0.626,16,,
56,6.412,0.668,16,,
57,6.28,0.656,16,,
58,6.206,0.65,16,,
59,6.23,0.652,16,,
60,6.132,0.642,16,,
61,6.146,0.644,16,,
62,6.176,0.648,16,,
63,5.98,0.628,16,,
64,6.332,0.662,16,,
65,6.018,0.632,16,,
66,6.228,0.652,16,,
67,6.296,0.658,16,,
68,5.724,0.606,16,,
69,5.852,0.616,16,,
70,5.978,0.628,16,,
71,6.126,0.644,16,,
72,6.504,0.676,16,,
73,6.344,0.662,16,,
74,6.216,0.65,16,,
75,6.09,0.64,16,,
76,6.258,0.654,16,,
77,6.002,0.63,16,,
78,6.076,0.638,16,,
79,5.932,0.624,16,,
80,6.268,0.656,16,,
81,6.332,0.66,16,,
82,5.86,0.616,16,,
83,6.04,0.634,16,,
84,6.242,0.652,16,,
85,6.492,0.676,16,,
86,6.244,0.652,16,,
87,6.078,0.636,16,,
88,5.956,0.626,16,,
89,5.942,0.626,16,,
90,6.282,0.656,16,,
91,5.952,0.624,16,,
92,5.974,0.628,16,,
93,5.89,0.62,16,,
94,5.736,0.606,16,,
95,6.34,0.662,16,,
96,6.098,0.64,16,,
97,6.248,0.654,16,,
98,6.008,0.632,16,,
99,6.102,0.642,16,,
100,6.098,0.64,16,,
101,5.91,0.622,16,,
102,6.112,0.64,16,,
103,6.33,0.662,16,,
104,6.438,0.672,16,,
105,6.466,0.674,16,,
106,6.166,0.646,16,,
107,5.848,0.618,16,,
108,5.826,0.616,16,,
109,5.66,0.6,16,,
110,6.19,0.648,16,,
111,6.082,0.638,16,,
112,6.076,0.638,16,,
113,6.288,0.658,16,,
114,5.776,0.61,16,,
115,6.19,0.65,16,,
116,6,0.63,16,,
117,6.31,0.66,16,,
118,6.072,0.636,16,,
119,5.92,0.624,16,,
120,6.146,0.646,16,,
121,6.058,0.636,16,,
122,6.268,0.656,16,,
123,5.994,0.63,16,,
124,6.102,0.64,16,,
125,5.992,0.63,16,,
126,6.084,0.638,16,,
127,6.112,0.642,16,,
128,6.266,0.654,16,,
129,6.218,0.652,16,,
130,6.19,0.648,16,,
131,6.048,0.636,16,,
132,6.162,0.644,16,,
133,5.85,0.618,16,,
134,6.174,0.648,16,,
135,5.83,0.616,16,,
136,6.366,0.664,16,,
137,6.024,0.632,16,,
138,6.148,0.644,16,,
139,6.28,0.656,16,,
140,6.47,0.674,16,,
141,6.368,0.664,16,,
142,6.258,0.654,16,,
143,6.094,0.64,16,,
144,5.834,0.614,16,,
145,6.278,0.656,16,,
146,6.36,0.664,16,,
147,5.872,0.618,16,,
148,6.09,0.638,16,,
149,6.3,0.658,16,,
150,5.548,0.59,16,,
151,6.102,0.64,16,,
152,6.142,0.642,16,,
153,5.578,0.592,16,,
154,5.566,0.592,16,,
155,5.992,0.63,16,,
156,5.852,0.618,16,,
157,6.178,0.646,16,,
158,6.156,0.644,16,,
159,5.968,0.628,16,,
160,5.78,0.608,16,,
161,6.246,0.654,16,,
162,6.154,0.646,16,,
163,6.018,0.632,16,,
164,6.466,0.674,16,,
165,5.886,0.622,16,,
166,6.058,0.636,16,,
167,6.256,0.654,16,,
168,5.86,0.616,16,,
169,5.806,0.612,16,,
170,5.852,0.616,16,,
