Timestep,Average Reward,Success Rate,Itr to Converge,,,
0,5.894,0.622,16,,,6.826
1,6.146,0.644,16,,,0.706
2,5.898,0.622,16,,,
3,6.106,0.64,16,,,
4,6.334,0.662,16,,,
5,6.52,0.68,16,,,
6,5.61,0.594,16,,,
7,5.794,0.61,16,,,
8,6.15,0.644,16,,,
9,6.064,0.636,16,,,
10,6.146,0.644,16,,,
11,6.254,0.654,16,,,
12,6.108,0.64,16,,,
13,5.848,0.616,16,,,
14,6.35,0.664,16,,,
15,6.106,0.64,16,,,
16,6.126,0.642,16,,,
17,6.008,0.632,16,,,
18,6.574,0.684,16,,,
19,6.312,0.658,16,,,
20,6.276,0.656,16,,,
21,6.342,0.664,16,,,
22,6.202,0.65,16,,,
23,6.086,0.638,16,,,
24,6.292,0.658,16,,,
25,6,0.632,16,,,
26,5.722,0.604,16,,,
27,6.328,0.662,16,,,
28,6.384,0.666,16,,,
29,6.146,0.644,16,,,
30,5.818,0.614,16,,,
31,6.044,0.634,16,,,
32,6.058,0.636,16,,,
33,6.49,0.678,16,,,
34,5.984,0.63,16,,,
35,5.51,0.586,16,,,
36,6.2,0.65,16,,,
37,6.152,0.644,16,,,
38,6.018,0.632,16,,,
39,6.084,0.638,16,,,
40,5.986,0.63,16,,,
41,6.028,0.632,16,,,
42,6.174,0.646,16,,,
43,5.838,0.614,16,,,
44,5.786,0.612,16,,,
45,5.48,0.582,16,,,
46,5.918,0.622,16,,,
47,6.228,0.65,16,,,
48,6.092,0.642,16,,,
49,6.016,0.632,16,,,
50,6.082,0.638,16,,,
51,6.288,0.658,16,,,
52,5.872,0.62,16,,,
53,6.07,0.636,16,,,
54,6.288,0.658,16,,,
55,6.276,0.658,16,,,
56,5.98,0.63,16,,,
57,6.098,0.64,16,,,
58,6.136,0.642,16,,,
59,6.24,0.654,16,,,
60,5.802,0.612,16,,,
61,6.276,0.656,16,,,
62,6.158,0.646,16,,,
63,6.156,0.644,16,,,
64,5.982,0.628,16,,,
65,6.298,0.658,16,,,
66,6.528,0.68,16,,,
67,6.134,0.644,16,,,
68,5.984,0.628,16,,,
69,5.672,0.6,16,,,
70,6.152,0.646,16,,,
71,6.33,0.662,16,,,
72,6.364,0.664,16,,,
73,6.128,0.644,16,,,
74,6.224,0.652,16,,,
75,6.204,0.65,16,,,
76,5.624,0.596,16,,,
77,5.92,0.624,16,,,
78,5.934,0.624,16,,,
79,6.222,0.652,16,,,
80,6.54,0.68,16,,,
81,5.694,0.604,16,,,
82,6.34,0.66,16,,,
83,6.49,0.676,16,,,
84,5.96,0.626,16,,,
85,5.854,0.616,16,,,
86,6.092,0.638,16,,,
87,5.87,0.618,16,,,
88,6.16,0.646,16,,,
89,6.158,0.646,16,,,
90,6.212,0.65,16,,,
91,6.246,0.654,16,,,
92,6.356,0.664,16,,,
93,6.144,0.644,16,,,
94,5.822,0.616,16,,,
95,6.164,0.644,16,,,
96,6,0.63,16,,,
97,6.396,0.668,16,,,
98,5.982,0.63,16,,,
99,6.1,0.64,16,,,
100,6.31,0.658,16,,,
101,6.142,0.642,16,,,
102,6.064,0.638,16,,,
103,6.066,0.636,16,,,
104,6.482,0.674,16,,,
105,6.19,0.648,16,,,
106,6.218,0.65,16,,,
107,5.708,0.604,16,,,
108,5.874,0.618,16,,,
109,6.316,0.658,16,,,
110,5.868,0.618,16,,,
111,5.808,0.612,16,,,
112,5.822,0.614,16,,,
113,6.222,0.652,16,,,
114,6.03,0.634,16,,,
115,6.11,0.64,16,,,
116,6.172,0.646,16,,,
117,6.508,0.678,16,,,
118,6.012,0.63,16,,,
119,5.95,0.626,16,,,
120,6.136,0.642,16,,,
121,5.958,0.626,16,,,
122,5.994,0.63,16,,,
123,5.768,0.61,16,,,
124,6.052,0.636,16,,,
125,5.884,0.62,16,,,
126,6.254,0.654,16,,,
127,6.046,0.636,16,,,
128,6.314,0.66,16,,,
129,6.216,0.65,16,,,
130,5.948,0.626,16,,,
131,6.28,0.658,16,,,
132,6.244,0.652,16,,,
133,6.326,0.66,16,,,
134,6.306,0.66,16,,,
135,6.22,0.65,16,,,
136,5.66,0.6,16,,,
137,6.316,0.66,16,,,
138,6.11,0.642,16,,,
139,6.288,0.656,16,,,
140,6.032,0.634,16,,,
141,5.824,0.614,16,,,
142,5.812,0.612,16,,,
143,6.366,0.664,16,,,
144,6.226,0.652,16,,,
145,6.23,0.652,16,,,
146,6.25,0.652,16,,,
147,5.584,0.592,16,,,
148,6.412,0.668,16,,,
149,5.666,0.6,16,,,
150,6.37,0.664,16,,,
151,6.44,0.67,16,,,
152,5.97,0.628,16,,,
153,5.698,0.604,16,,,
154,6.47,0.674,16,,,
155,6.014,0.632,16,,,
156,6.15,0.644,16,,,
157,6.05,0.636,16,,,
158,6.114,0.64,16,,,
159,6.162,0.646,16,,,
160,6.266,0.656,16,,,
161,6.39,0.668,16,,,
162,5.728,0.606,16,,,
163,6.188,0.648,16,,,
164,5.936,0.624,16,,,
165,6.098,0.64,16,,,
166,6.204,0.65,16,,,
167,6.11,0.64,16,,,
168,5.796,0.612,16,,,
169,6.47,0.674,16,,,
170,5.82,0.616,16,,,
171,6.218,0.65,16,,,
172,6.124,0.642,16,,,
173,6.08,0.636,16,,,
174,6.178,0.646,16,,,
175,5.83,0.616,16,,,
176,6.458,0.672,16,,,
177,6.39,0.668,16,,,
