Timestep,Average Reward,Success Rate,Itr to Converge,,
0,6.152,0.646,16,,6.652
1,6.256,0.654,16,,0.692
2,5.872,0.618,16,,
3,5.978,0.63,16,,
4,5.912,0.62,16,,
5,5.764,0.608,16,,
6,5.962,0.626,16,,
7,5.81,0.612,16,,
8,6.002,0.632,16,,
9,6.354,0.664,16,,
10,5.872,0.618,16,,
11,6.238,0.652,16,,
12,6.46,0.674,16,,
13,5.678,0.6,16,,
14,6.13,0.642,16,,
15,6.056,0.638,16,,
16,5.898,0.622,16,,
17,5.864,0.618,16,,
18,6.23,0.652,16,,
19,6.042,0.634,16,,
20,6.03,0.634,16,,
21,6.134,0.642,16,,
22,5.88,0.62,16,,
23,6.172,0.646,16,,
24,5.868,0.62,16,,
25,6.282,0.654,16,,
26,6.032,0.632,16,,
27,6.088,0.64,16,,
28,5.928,0.624,16,,
29,5.996,0.63,16,,
30,6.288,0.658,16,,
31,5.82,0.612,16,,
32,6.02,0.634,16,,
33,6.116,0.64,16,,
34,6.014,0.632,16,,
35,6.112,0.642,16,,
36,6.302,0.658,16,,
37,6.014,0.632,16,,
38,6.162,0.646,16,,
39,6.266,0.656,16,,
40,6.082,0.638,16,,
41,6.126,0.642,16,,
42,6.26,0.654,16,,
43,6.356,0.664,16,,
44,5.906,0.62,16,,
45,5.972,0.63,16,,
46,5.83,0.616,16,,
47,6.244,0.652,16,,
48,6.19,0.648,16,,
49,5.802,0.612,16,,
50,6.054,0.636,16,,
51,5.88,0.62,16,,
52,6.062,0.636,16,,
53,6.154,0.644,16,,
54,5.638,0.598,16,,
55,6.244,0.654,16,,
56,6.414,0.67,16,,
57,6.508,0.678,16,,
58,6.258,0.654,16,,
59,5.902,0.622,16,,
60,5.96,0.628,16,,
61,6.222,0.65,16,,
62,5.882,0.618,16,,
63,6.352,0.662,16,,
64,6.176,0.646,16,,
65,5.796,0.612,16,,
66,6.162,0.646,16,,
67,6.274,0.656,16,,
68,6.242,0.652,16,,
69,6.192,0.648,16,,
70,6.292,0.658,16,,
71,6.262,0.654,16,,
72,6.092,0.638,16,,
