0,1,2,3,,
0,1.488,0.648,16,,1.611
1,1.388,0.618,16,,0.694
2,1.421,0.63,16,,
3,1.446,0.64,16,,
4,1.466,0.644,16,,
5,1.427,0.632,16,,
6,1.561,0.676,16,,
7,1.462,0.642,16,,
8,1.545,0.672,16,,
9,1.415,0.628,16,,
10,1.468,0.646,16,,
11,1.467,0.646,16,,
12,1.576,0.68,16,,
13,1.444,0.636,16,,
14,1.402,0.622,16,,
15,1.375,0.614,16,,
16,1.48,0.648,16,,
17,1.443,0.634,16,,
18,1.425,0.634,16,,
19,1.478,0.648,16,,
20,1.566,0.68,16,,
21,1.423,0.632,16,,
22,1.395,0.62,16,,
23,1.424,0.632,16,,
24,1.45,0.642,16,,
25,1.434,0.636,16,,
26,1.533,0.668,16,,
27,1.495,0.656,16,,
28,1.401,0.622,16,,
29,1.382,0.614,16,,
30,1.4,0.624,16,,
31,1.404,0.624,16,,
32,1.361,0.608,16,,
33,1.507,0.656,16,,
34,1.477,0.65,16,,
35,1.492,0.652,16,,
36,1.402,0.624,16,,
37,1.438,0.636,16,,
38,1.444,0.636,16,,
39,1.424,0.628,16,,
40,1.438,0.634,16,,
41,1.436,0.634,16,,
42,1.39,0.62,16,,
43,1.498,0.658,16,,
44,1.493,0.654,16,,
45,1.43,0.634,16,,
46,1.438,0.636,16,,
47,1.451,0.642,16,,
48,1.479,0.65,16,,
49,1.484,0.65,16,,
50,1.451,0.638,16,,
51,1.386,0.62,16,,
52,1.401,0.624,16,,
53,1.42,0.63,16,,
54,1.528,0.668,16,,
55,1.338,0.602,16,,
56,1.436,0.636,16,,
57,1.498,0.654,16,,
58,1.445,0.634,16,,
59,1.456,0.644,16,,
60,1.566,0.68,16,,
61,1.461,0.644,16,,
62,1.354,0.606,16,,
63,1.528,0.668,16,,
64,1.403,0.624,16,,
65,1.35,0.606,16,,
66,1.43,0.636,16,,
67,1.52,0.664,16,,
68,1.459,0.64,16,,
69,1.351,0.606,16,,
70,1.401,0.624,16,,
71,1.431,0.636,16,,
72,1.41,0.624,16,,
73,1.482,0.65,16,,
74,1.449,0.636,16,,
75,1.512,0.662,16,,
76,1.477,0.652,16,,
77,1.467,0.644,16,,
78,1.422,0.63,16,,
79,1.376,0.618,16,,
80,1.39,0.618,16,,
81,1.417,0.626,16,,
82,1.475,0.648,16,,
83,1.445,0.638,16,,
84,1.443,0.638,16,,
85,1.391,0.62,16,,
86,1.483,0.65,16,,
87,1.431,0.632,16,,
88,1.494,0.654,16,,
89,1.455,0.64,16,,
90,1.368,0.612,16,,
91,1.491,0.652,16,,
92,1.57,0.682,16,,
93,1.412,0.626,16,,
94,1.513,0.662,16,,
95,1.502,0.658,16,,
96,1.436,0.636,16,,
97,1.443,0.636,16,,
98,1.407,0.628,16,,
99,1.443,0.636,16,,
100,1.356,0.61,16,,
101,1.396,0.626,16,,
102,1.401,0.626,16,,
103,1.445,0.638,16,,
104,1.492,0.656,16,,
105,1.559,0.676,16,,
106,1.454,0.64,16,,
107,1.435,0.634,16,,
108,1.492,0.656,16,,
109,1.489,0.65,16,,
110,1.488,0.652,16,,
111,1.483,0.652,16,,
112,1.522,0.666,16,,
113,1.438,0.634,16,,
114,1.521,0.664,16,,
115,1.436,0.634,16,,
116,1.524,0.664,16,,
117,1.46,0.642,16,,
118,1.493,0.656,16,,
119,1.435,0.634,16,,
120,1.374,0.618,16,,
121,1.369,0.614,16,,
122,1.457,0.642,16,,
123,1.447,0.638,16,,
124,1.422,0.628,16,,
125,1.568,0.68,16,,
126,1.538,0.668,16,,
127,1.46,0.642,16,,
128,1.443,0.636,16,,
129,1.458,0.642,16,,
130,1.473,0.648,16,,
131,1.469,0.646,16,,
132,1.41,0.624,16,,
133,1.546,0.674,16,,
134,1.336,0.602,16,,
135,1.522,0.668,16,,
136,1.385,0.616,16,,
137,1.407,0.626,16,,
138,1.595,0.688,16,,
139,1.476,0.65,16,,
140,1.563,0.678,16,,
141,1.354,0.604,16,,
142,1.508,0.658,16,,
143,1.428,0.634,16,,
144,1.41,0.622,16,,
145,1.428,0.632,16,,
146,1.337,0.604,16,,
147,1.465,0.644,16,,
148,1.496,0.656,16,,
149,1.486,0.652,16,,
150,1.558,0.678,16,,
151,1.382,0.614,16,,
152,1.449,0.64,16,,
153,1.464,0.644,16,,
154,1.377,0.612,16,,
155,1.497,0.66,16,,
156,1.419,0.63,16,,
157,1.507,0.66,16,,
158,1.5,0.654,16,,
159,1.526,0.664,16,,
160,1.495,0.656,16,,
161,1.4,0.622,16,,
162,1.379,0.612,16,,
163,1.457,0.644,16,,
164,1.453,0.64,16,,
165,1.517,0.664,16,,
166,1.475,0.648,16,,
167,1.446,0.642,16,,
168,1.384,0.616,16,,
169,1.439,0.636,16,,
170,1.511,0.66,16,,
171,1.52,0.664,16,,
172,1.479,0.652,16,,
173,1.431,0.634,16,,
174,1.461,0.642,16,,
175,1.488,0.652,16,,
176,1.409,0.624,16,,
177,1.573,0.682,16,,
178,1.586,0.684,16,,
179,1.559,0.678,16,,
180,1.392,0.62,16,,
181,1.521,0.662,16,,
182,1.52,0.664,16,,
183,1.372,0.614,16,,
184,1.355,0.604,16,,
185,1.466,0.644,16,,
186,1.382,0.616,16,,
187,1.358,0.608,16,,
188,1.514,0.66,16,,
189,1.411,0.626,16,,
190,1.437,0.634,16,,
191,1.462,0.644,16,,
192,1.524,0.666,16,,
193,1.446,0.64,16,,
194,1.611,0.694,16,,
195,1.456,0.642,16,,
196,1.463,0.646,16,,
197,1.484,0.648,16,,
198,1.498,0.654,16,,
199,1.409,0.624,16,,
200,1.306,0.586,16,,
201,1.502,0.658,16,,
202,1.495,0.656,16,,
203,1.453,0.638,16,,
204,1.389,0.618,16,,
205,1.497,0.658,16,,
206,1.569,0.682,16,,
207,1.439,0.636,16,,
208,1.463,0.646,16,,
209,1.438,0.636,16,,
210,1.517,0.664,16,,
211,1.341,0.604,16,,
212,1.434,0.634,16,,
