Timestep,Average Reward,Success Rate,Itr to Converge,,
0,1.383,0.616,16,,1.654
1,1.48,0.65,16,,0.706
2,1.461,0.644,16,,
3,1.356,0.61,16,,
4,1.513,0.66,16,,
5,1.432,0.632,16,,
6,1.412,0.626,16,,
7,1.348,0.6,16,,
8,1.479,0.648,16,,
9,1.38,0.614,16,,
10,1.494,0.656,16,,
11,1.405,0.622,16,,
12,1.399,0.62,16,,
13,1.432,0.632,16,,
14,1.369,0.612,16,,
15,1.386,0.618,16,,
16,1.412,0.626,16,,
17,1.558,0.676,16,,
18,1.365,0.612,16,,
19,1.607,0.694,16,,
20,1.429,0.632,16,,
21,1.481,0.65,16,,
22,1.553,0.678,16,,
23,1.39,0.616,16,,
24,1.477,0.652,16,,
25,1.434,0.636,16,,
26,1.483,0.65,16,,
27,1.467,0.646,16,,
28,1.4,0.622,16,,
29,1.388,0.62,16,,
30,1.457,0.638,16,,
31,1.432,0.632,16,,
32,1.464,0.644,16,,
33,1.426,0.632,16,,
34,1.48,0.648,16,,
35,1.336,0.598,16,,
36,1.431,0.632,16,,
37,1.499,0.658,16,,
38,1.55,0.676,16,,
39,1.488,0.654,16,,
40,1.533,0.666,16,,
41,1.494,0.656,16,,
42,1.533,0.668,16,,
43,1.558,0.676,16,,
44,1.435,0.634,16,,
45,1.422,0.628,16,,
46,1.354,0.61,16,,
47,1.455,0.644,16,,
48,1.501,0.658,16,,
49,1.507,0.66,16,,
50,1.539,0.67,16,,
51,1.528,0.668,16,,
52,1.361,0.608,16,,
53,1.527,0.666,16,,
54,1.41,0.628,16,,
55,1.429,0.634,16,,
56,1.465,0.644,16,,
57,1.439,0.634,16,,
58,1.494,0.656,16,,
59,1.404,0.624,16,,
60,1.513,0.66,16,,
61,1.404,0.626,16,,
62,1.43,0.63,16,,
63,1.344,0.604,16,,
64,1.404,0.62,16,,
65,1.489,0.654,16,,
66,1.567,0.678,16,,
67,1.465,0.644,16,,
68,1.448,0.638,16,,
69,1.445,0.638,16,,
70,1.506,0.658,16,,
71,1.559,0.676,16,,
72,1.302,0.59,16,,
73,1.47,0.646,16,,
74,1.454,0.638,16,,
75,1.372,0.612,16,,
76,1.381,0.62,16,,
77,1.403,0.624,16,,
78,1.521,0.662,16,,
79,1.492,0.65,16,,
80,1.414,0.626,16,,
81,1.346,0.606,16,,
82,1.44,0.636,16,,
83,1.492,0.654,16,,
84,1.479,0.65,16,,
85,1.517,0.662,16,,
86,1.454,0.64,16,,
87,1.469,0.646,16,,
88,1.351,0.61,16,,
89,1.494,0.654,16,,
90,1.422,0.63,16,,
91,1.484,0.654,16,,
92,1.654,0.706,16,,
93,1.451,0.64,16,,
94,1.46,0.644,16,,
95,1.369,0.614,16,,
96,1.493,0.654,16,,
97,1.425,0.63,16,,
98,1.354,0.604,16,,
99,1.417,0.628,16,,
100,1.527,0.666,16,,
101,1.445,0.638,16,,
102,1.45,0.638,16,,
103,1.411,0.63,16,,
104,1.42,0.63,16,,
105,1.471,0.648,16,,
106,1.469,0.646,16,,
107,1.493,0.654,16,,
108,1.426,0.634,16,,
109,1.515,0.662,16,,
110,1.485,0.65,16,,
111,1.396,0.622,16,,
112,1.429,0.632,16,,
113,1.488,0.652,16,,
114,1.393,0.622,16,,
115,1.424,0.63,16,,
116,1.516,0.66,16,,
117,1.406,0.622,16,,
118,1.434,0.634,16,,
119,1.511,0.662,16,,
120,1.443,0.636,16,,
121,1.285,0.584,16,,
122,1.417,0.628,16,,
123,1.427,0.634,16,,
124,1.387,0.614,16,,
125,1.429,0.634,16,,
126,1.469,0.648,16,,
127,1.333,0.6,16,,
128,1.4,0.624,16,,
129,1.485,0.652,16,,
130,1.462,0.642,16,,
131,1.389,0.618,16,,
132,1.472,0.648,16,,
133,1.42,0.628,16,,
134,1.394,0.62,16,,
135,1.424,0.632,16,,
136,1.429,0.634,16,,
137,1.368,0.61,16,,
138,1.402,0.624,16,,
139,1.493,0.656,16,,
140,1.547,0.674,16,,
141,1.499,0.656,16,,
142,1.513,0.662,16,,
143,1.413,0.626,16,,
144,1.458,0.646,16,,
145,1.382,0.616,16,,
146,1.62,0.698,16,,
147,1.438,0.634,16,,
148,1.4,0.622,16,,
149,1.476,0.646,16,,
150,1.437,0.634,16,,
151,1.51,0.662,16,,
152,1.425,0.632,16,,
153,1.423,0.634,16,,
154,1.509,0.658,16,,
155,1.518,0.662,16,,
156,1.431,0.634,16,,
157,1.47,0.65,16,,
158,1.48,0.648,16,,
159,1.505,0.658,16,,
160,1.411,0.626,16,,
161,1.43,0.632,16,,
162,1.412,0.628,16,,
163,1.512,0.662,16,,
164,1.427,0.634,16,,
165,1.408,0.624,16,,
166,1.442,0.636,16,,
167,1.376,0.614,16,,
168,1.47,0.646,16,,
169,1.469,0.646,16,,
170,1.437,0.636,16,,
171,1.479,0.65,16,,
172,1.477,0.65,16,,
173,1.432,0.638,16,,
174,1.559,0.678,16,,
175,1.569,0.682,16,,
176,1.455,0.642,16,,
177,1.434,0.632,16,,
178,1.384,0.614,16,,
179,1.392,0.622,16,,
180,1.274,0.578,16,,
181,1.481,0.65,16,,
182,1.432,0.634,16,,
183,1.499,0.656,16,,
184,1.397,0.624,16,,
185,1.576,0.684,16,,
186,1.311,0.59,16,,
187,1.334,0.598,16,,
188,1.441,0.636,16,,
189,1.436,0.634,16,,
190,1.404,0.624,16,,
191,1.414,0.63,16,,
192,1.443,0.638,16,,
193,1.304,0.594,16,,
194,1.451,0.64,16,,
195,1.396,0.62,16,,
196,1.37,0.612,16,,
197,1.403,0.622,16,,
198,1.387,0.618,16,,
199,1.346,0.604,16,,
200,1.463,0.644,16,,
201,1.5,0.654,16,,
202,1.412,0.626,16,,
203,1.464,0.646,16,,
204,1.366,0.612,16,,
205,1.517,0.664,16,,
206,1.465,0.648,16,,
207,1.496,0.656,16,,
208,1.534,0.67,16,,
209,1.351,0.604,16,,
210,1.422,0.632,16,,
211,1.407,0.626,16,,
212,1.35,0.608,16,,
213,1.47,0.648,16,,
214,1.439,0.636,16,,
215,1.508,0.66,16,,
216,1.392,0.618,16,,
217,1.407,0.628,16,,
218,1.417,0.63,16,,
219,1.408,0.626,16,,
220,1.298,0.59,16,,
221,1.525,0.662,16,,
222,1.516,0.662,16,,
223,1.414,0.63,16,,
224,1.407,0.626,16,,
225,1.531,0.666,16,,
226,1.417,0.626,16,,
227,1.363,0.61,16,,
228,1.438,0.638,16,,
229,1.459,0.648,16,,
230,1.427,0.63,16,,
231,1.34,0.602,16,,
232,1.489,0.652,16,,
233,1.389,0.622,16,,
234,1.453,0.64,16,,
235,1.477,0.648,16,,
236,1.611,0.692,16,,
237,1.477,0.648,16,,
238,1.455,0.64,16,,
239,1.393,0.624,16,,
240,1.385,0.62,16,,
241,1.451,0.64,16,,
242,1.45,0.636,16,,
243,1.538,0.668,16,,
244,1.458,0.644,16,,
245,1.497,0.654,16,,
246,1.518,0.662,16,,
247,1.51,0.662,16,,
248,1.518,0.662,16,,
249,1.412,0.628,16,,
250,1.556,0.674,16,,
251,1.466,0.646,16,,
252,1.563,0.674,16,,
253,1.483,0.652,16,,
254,1.498,0.654,16,,
255,1.438,0.632,16,,
256,1.418,0.63,16,,
257,1.48,0.652,16,,
258,1.487,0.652,16,,
259,1.398,0.622,16,,
260,1.508,0.658,16,,
261,1.416,0.626,16,,
262,1.416,0.628,16,,
263,1.376,0.616,16,,
264,1.498,0.654,16,,
265,1.426,0.632,16,,
266,1.439,0.634,16,,
267,1.447,0.638,16,,
268,1.459,0.644,16,,
269,1.382,0.618,16,,
270,1.542,0.668,16,,
271,1.5,0.658,16,,
272,1.432,0.634,16,,
273,1.303,0.586,16,,
274,1.449,0.638,16,,
275,1.467,0.644,16,,
276,1.542,0.67,16,,
277,1.268,0.576,16,,
278,1.463,0.644,16,,
279,1.517,0.662,16,,
