0,1,2,3,,
0,-2,398,500,,-0.572
1,-1.286,391.442,1000,,396.4216933
2,-2,398,1000,,758.3333333
3,-2,398,1000,,
4,-1.538,393.74,500,,
5,-1.832,396.448,500,,
6,-1.412,392.612,1000,,
7,-2,398,500,,
8,-0.992,388.75,1000,,
9,-2,398,1000,,
10,-1.496,393.368,1000,,
11,-2,398,500,,
12,-2,398,500,,
13,-1.538,393.75,1000,,
14,-1.79,396.066,1000,,
15,-2,398,500,,
16,-1.118,389.898,1000,,
17,-1.916,397.224,500,,
18,-2,398,500,,
19,-2,398,500,,
20,-1.664,394.908,1000,,
21,-1.58,394.146,1000,,
22,-2,398,500,,
23,-1.874,396.84,500,,
24,-1.664,394.902,500,,
25,-2,398,1000,,
26,-2,398,500,,
27,-1.706,395.298,1000,,
28,-2,398,500,,
29,-2,398,1000,,
30,-2,398,500,,
31,-2,398,500,,
32,-1.118,389.906,1000,,
33,-2,398,500,,
34,-1.874,396.836,500,,
35,-2,398,1000,,
36,-1.958,397.614,1000,,
37,-1.496,393.364,1000,,
38,-2,398,500,,
39,-2,398,1000,,
40,-1.58,394.134,500,,
41,-2,398,500,,
42,-2,398,1000,,
43,-1.832,396.456,1000,,
44,-2,398,1000,,
45,-2,398,1000,,
46,-1.454,392.986,1000,,
47,-1.874,396.836,500,,
48,-2,398,500,,
49,-2,398,1000,,
50,-1.832,396.448,500,,
51,-2,398,1000,,
52,-2,398,500,,
53,-1.874,396.842,1000,,
54,-1.832,396.456,1000,,
55,-2,398,500,,
56,-1.79,396.06,1000,,
57,-1.706,395.296,1000,,
58,-2,398,500,,
59,-2,398,1000,,
60,-1.664,394.912,1000,,
61,-2,398,500,,
62,-2,398,1000,,
63,-2,398,500,,
64,-1.622,394.524,1000,,
65,-1.454,392.976,1000,,
66,-2,398,500,,
67,-1.874,396.836,500,,
68,-2,398,1000,,
69,-1.496,393.382,1000,,
70,-2,398,500,,
71,-2,398,500,,
72,-2,398,1000,,
73,-2,398,500,,
74,-2,398,500,,
75,-2,398,500,,
76,-2,398,1000,,
77,-2,398,1000,,
78,-1.286,391.422,1000,,
79,-1.874,396.836,1000,,
80,-2,398,500,,
81,-1.79,396.066,1000,,
82,-1.958,397.612,1000,,
